epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,588.446,1.12957,0.70737,1.50353,0.78056,0.97436,0.884,0.47262,1.75533,1.05066,1.36527,0.001274,0.001274,0.001274
57,599.179,1.10668,0.67876,1.53277,0.8078,1,0.91718,0.43286,2.00319,0.92819,1.71588,0.0012608,0.0012608,0.0012608
58,610.183,1.16004,0.68206,1.54708,0.80805,1,0.92812,0.52178,1.73842,1.07345,1.44029,0.0012476,0.0012476,0.0012476
59,621.151,1.1699,0.68354,1.53616,0.77388,1,0.89577,0.4647,1.89273,1.10868,1.60506,0.0012344,0.0012344,0.0012344
60,632.086,1.06726,0.66783,1.45855,0.76402,0.99628,0.84661,0.43901,1.87653,1.03499,1.51221,0.0012212,0.0012212,0.0012212
61,643.093,1.13584,0.65296,1.52888,0.8102,1,0.88737,0.48868,1.69465,0.92648,1.26111,0.001208,0.001208,0.001208
62,654.079,1.113,0.65036,1.45344,0.82993,1,0.94127,0.47633,1.92453,0.92508,1.54482,0.0011948,0.0011948,0.0011948
63,664.807,1.09959,0.67614,1.50907,0.84702,0.99391,0.90681,0.508,1.72275,0.89563,1.28822,0.0011816,0.0011816,0.0011816
64,675.396,1.09558,0.64753,1.47487,0.82697,1,0.91451,0.5078,1.72265,0.95774,1.30623,0.0011684,0.0011684,0.0011684
65,686.587,1.10669,0.63896,1.45405,0.84293,1,0.86392,0.45221,1.7739,0.89089,1.36092,0.0011552,0.0011552,0.0011552
66,697.584,1.11909,0.6596,1.48287,0.9047,1,0.92217,0.52799,1.64892,0.85778,1.19394,0.001142,0.001142,0.001142
67,708.649,1.1182,0.67528,1.4137,0.79487,0.99369,0.84381,0.44464,1.79521,0.87644,1.36553,0.0011288,0.0011288,0.0011288
68,719.465,1.05063,0.61971,1.42244,0.85467,1,0.94595,0.53332,1.68908,0.76872,1.28561,0.0011156,0.0011156,0.0011156
69,730.008,1.14929,0.65187,1.44678,0.82666,1,0.92115,0.48279,1.80648,0.73978,1.41756,0.0011024,0.0011024,0.0011024
70,740.498,1.05562,0.62539,1.41674,0.76328,0.99223,0.85488,0.43084,1.75104,1.14853,1.36859,0.0010892,0.0010892,0.0010892
71,751.02,0.99696,0.59363,1.39155,0.74689,1,0.83256,0.43249,1.69586,1.47545,1.29181,0.001076,0.001076,0.001076
72,761.745,1.07664,0.62863,1.41163,0.76321,1,0.87676,0.49222,1.62441,0.85449,1.19041,0.0010628,0.0010628,0.0010628
73,772.144,1.05094,0.62005,1.41892,0.74748,1,0.86983,0.5165,1.54638,0.90044,1.10283,0.0010496,0.0010496,0.0010496
74,782.374,1.0611,0.64872,1.42793,0.74847,1,0.88154,0.49015,1.62753,0.90798,1.21118,0.0010364,0.0010364,0.0010364
75,792.848,1.0286,0.60548,1.40926,0.79888,1,0.89294,0.47624,1.6981,0.89089,1.3034,0.0010232,0.0010232,0.0010232
