epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,401.448,2.2255,1.94499,2.64699,0.74968,1,0.94389,0.68432,1.19102,1.18287,2.29502,0.007459,0.007459,0.007459
79,406.61,2.17308,2.11111,2.74973,0.76691,1,0.94389,0.63471,1.26372,1.1884,2.27539,0.007426,0.007426,0.007426
80,411.472,2.08876,2.01318,2.62403,0.87318,0.98544,0.92375,0.517,1.42344,1.34996,2.49667,0.007393,0.007393,0.007393
81,416.287,2.00831,2.06983,2.61944,0.83903,0.85714,0.92409,0.60505,1.20208,1.22572,2.31552,0.00736,0.00736,0.00736
82,421.132,2.15525,2.28312,2.85097,0.67881,0.90919,0.853,0.56702,1.25894,1.47784,2.34299,0.007327,0.007327,0.007327
83,426.01,2.13667,1.95822,2.58158,0.52786,0.85714,0.73086,0.31015,1.40949,2.50288,2.42772,0.007294,0.007294,0.007294
84,430.93,1.89761,1.73696,2.56717,0.73868,1,0.78667,0.33681,1.5248,1.78708,2.57333,0.007261,0.007261,0.007261
85,435.816,2.17676,1.74789,2.82908,0.94012,1,0.995,0.59142,1.52626,1.13506,2.50979,0.007228,0.007228,0.007228
86,440.666,1.96181,1.88942,2.58135,0.81887,0.85714,0.89583,0.6279,1.41084,1.48971,2.49764,0.007195,0.007195,0.007195
87,445.56,2.09424,1.79955,2.63734,0.95864,1,0.995,0.65346,1.42642,1.07982,2.39771,0.007162,0.007162,0.007162
88,450.488,1.99102,1.72564,2.55235,0.95209,1,0.995,0.69611,1.37024,1.44316,2.34654,0.007129,0.007129,0.007129
89,455.644,2.0688,1.79331,2.75075,0.97633,1,0.995,0.70237,1.2023,1.12059,2.23847,0.007096,0.007096,0.007096
90,460.798,2.05999,1.87918,2.62344,0.96451,1,0.995,0.63667,1.31839,1.17303,2.26392,0.007063,0.007063,0.007063
91,465.707,1.89891,1.77194,2.53199,0.93558,1,0.995,0.63148,1.34098,1.33488,2.21107,0.00703,0.00703,0.00703
92,470.62,1.86075,1.54929,2.43283,0.98803,1,0.995,0.69104,1.22237,1.07136,2.22545,0.006997,0.006997,0.006997
93,475.506,1.97947,1.74997,2.61725,0.84678,1,0.9775,0.57818,1.63319,1.08551,2.55376,0.006964,0.006964,0.006964
94,480.435,1.81116,1.43323,2.39442,0.98512,1,0.995,0.67817,1.30342,0.96377,2.3102,0.006931,0.006931,0.006931
95,485.377,1.76698,1.51305,2.31437,0.83497,0.85714,0.90033,0.31891,2.48044,1.10881,3.48719,0.006898,0.006898,0.006898
96,490.326,1.91661,1.73752,2.54046,0.98298,1,0.995,0.68083,1.24538,1.04006,2.33639,0.006865,0.006865,0.006865
97,495.276,1.81339,1.46652,2.40935,0.99732,1,0.995,0.46792,1.80785,1.14881,2.76656,0.006832,0.006832,0.006832
98,500.171,1.97566,1.60668,2.53577,0.77449,0.98307,0.96389,0.52945,1.37833,1.10899,2.28882,0.006799,0.006799,0.006799
99,505.094,1.84899,1.68511,2.62173,1,0.98775,0.995,0.52128,1.38252,1.27839,2.47524,0.006766,0.006766,0.006766
100,509.92,1.97685,1.6281,2.5558,0.96307,1,0.995,0.65913,1.25934,0.99746,2.22805,0.006733,0.006733,0.006733
101,514.802,2.05466,1.72255,2.5422,0.75117,1,0.90944,0.54158,1.42909,1.16149,2.44969,0.0067,0.0067,0.0067
