epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,908.474,0.63862,0.46225,0.95624,0.70677,0.73685,0.72959,0.45177,0.85347,0.46812,1.04427,0.00023525,0.00023525,0.00023525
84,919.573,0.61586,0.42728,0.93921,0.65682,0.74805,0.7444,0.45628,0.80621,0.44357,1.01804,0.000222875,0.000222875,0.000222875
85,930.642,0.62147,0.43217,0.93599,0.6055,0.72053,0.71969,0.46009,0.78003,0.44232,1.00871,0.0002105,0.0002105,0.0002105
86,941.454,0.60573,0.42802,0.94243,0.70398,0.72557,0.72033,0.45888,0.81317,0.45303,1.02873,0.000198125,0.000198125,0.000198125
87,952.577,0.59272,0.43457,0.93494,0.67008,0.77112,0.7236,0.46455,0.79805,0.44287,1.01956,0.00018575,0.00018575,0.00018575
88,963.634,0.58782,0.41307,0.92717,0.64407,0.77131,0.73343,0.46645,0.80496,0.45094,1.0202,0.000173375,0.000173375,0.000173375
89,974.854,0.64229,0.45639,0.95815,0.62794,0.7872,0.72481,0.467,0.80378,0.44937,1.02368,0.000161,0.000161,0.000161
90,985.707,0.60003,0.41978,0.92791,0.69406,0.71317,0.73888,0.48133,0.81774,0.45534,1.03012,0.000148625,0.000148625,0.000148625
91,1006.22,0.55852,0.3712,0.89123,0.68791,0.74224,0.73793,0.45643,0.86255,0.45704,1.07791,0.00013625,0.00013625,0.00013625
92,1017.23,0.55326,0.36015,0.8893,0.59664,0.70387,0.70536,0.46885,0.8523,0.44944,1.0671,0.000123875,0.000123875,0.000123875
93,1028.22,0.55564,0.36393,0.88676,0.73768,0.71898,0.72811,0.47539,0.85216,0.44494,1.06399,0.0001115,0.0001115,0.0001115
94,1039.29,0.53105,0.35254,0.87524,0.63496,0.72389,0.72192,0.47187,0.83306,0.4371,1.0395,9.9125e-05,9.9125e-05,9.9125e-05
95,1049.79,0.53558,0.34212,0.88041,0.61075,0.78061,0.71266,0.46477,0.81361,0.43617,1.01894,8.675e-05,8.675e-05,8.675e-05
96,1060.8,0.53697,0.34967,0.88564,0.6695,0.79146,0.75482,0.49081,0.79912,0.43488,1.01706,7.4375e-05,7.4375e-05,7.4375e-05
97,1071.64,0.5362,0.34169,0.88121,0.65559,0.83139,0.7579,0.48785,0.81172,0.43392,1.03165,6.2e-05,6.2e-05,6.2e-05
98,1082.67,0.52783,0.33717,0.88616,0.6419,0.77793,0.76272,0.4908,0.81101,0.43071,1.03275,4.9625e-05,4.9625e-05,4.9625e-05
99,1093.5,0.52006,0.33475,0.87344,0.62641,0.77629,0.75982,0.49272,0.81587,0.43343,1.03678,3.725e-05,3.725e-05,3.725e-05
100,1104.13,0.51764,0.33136,0.86663,0.64415,0.78313,0.76498,0.47617,0.81962,0.43244,1.04056,2.4875e-05,2.4875e-05,2.4875e-05
